Crew Member,Octant,Percentage
Crew Member,Octant 1,Octant 2,Octant 3,Octant 4,Octant 5,Octant 6,Octant 7,Octant 8,Octant 9,Octant 10,Octant 11,Octant 12,Octant 13,Octant 14,Octant 15,Octant 16
Person 1,8.32,7.86,10.09,19.93,15.15,12.61,8.95,8.76,2.01,1.14,0.50,0.75,0.25,0.03,1.06,2.60
Person 2,11.97,16.63,12.72,16.18,9.84,7.26,7.87,9.20,1.09,0.43,0.84,1.23,0.41,0.73,1.55,2.05
Person 3,7.34,5.47,7.12,14.19,10.49,16.45,17.47,13.12,0.93,0.54,0.84,0.13,0.62,1.69,1.18,2.41
Person 4,8.39,10.80,12.37,13.09,14.67,16.07,10.23,6.05,0.43,0.69,0.22,1.47,1.68,0.26,0.50,3.09

Shared Octant Time
Crew Pair,1 & 2,1 & 3,1 & 4,2 & 3,2 & 4,3 & 4
Octant 1,9.07,2.60,8.08,13.79,10.55,4.96
Octant 2,5.22,1.88,5.94,10.23,11.00,5.68
Octant 3,9.58,9.09,9.09,10.29,10.68,5.11
Octant 4,37.68,17.17,22.27,13.71,19.82,13.01
Octant 5,22.10,20.30,19.37,11.91,22.60,14.99
Octant 6,10.34,33.57,17.97,11.63,8.97,30.29
Octant 7,4.68,10.95,12.69,14.43,11.23,20.94
Octant 8,1.33,4.45,4.59,14.01,5.15,5.03
Octant 9,0.00,0.00,0.00,0.00,0.00,0.00
Octant 10,0.00,0.00,0.00,0.00,0.00,0.00
Octant 11,0.00,0.00,0.00,0.00,0.00,0.00
Octant 12,0.00,0.00,0.00,0.00,0.00,0.00
Octant 13,0.00,0.00,0.00,0.00,0.00,0.00
Octant 14,0.00,0.00,0.00,0.00,0.00,0.00
Octant 15,0.00,0.00,0.00,0.00,0.00,0.00
Octant 16,0.00,0.00,0.00,0.00,0.00,0.00
