	roll	pitch	yaw	gx	gy	gz	ax	ay	az		diff x	diff y	diff z			
36	0	0	0	0	0	1000	-11.47	-10.01	1002.71		-11.47	-10.01	2.71			
37	0	0	0	0	0	1000	-11.47	-10.01	1002.71		-11.47	-10.01	2.71		MEAN	ST DEV
38	0	0	0	0	0	1000	-10.99	-3.91	999.29		-10.99	-3.91	-0.71		-0.199826972	
39	0	0	0	0	0	1000	-4.15	-8.06	1008.08		-4.15	-8.06	8.08		0.100982188	
40	0	0	0	0	0	1000	-12.7	-7.32	1000.75		-12.7	-7.32	0.75		3.968127226	
41	-0.3	0.4	29.3	-7.45	-4.59	999.96	-12.7	-7.32	1000.75		-5.25	-2.73	0.79			
42	-0.3	0.4	29.3	-7.47	-4.53	999.96	0.24	-2.2	1001.24		7.71	2.33	1.28			
43	-0.3	0.4	29.3	-7.54	-4.58	999.96	0.24	-2.2	1001.24		7.78	2.38	1.28			
44	-0.3	0.4	29.3	-7.66	-4.78	999.96	-11.96	-3.17	1008.08		-4.3	1.61	8.12			
45	-0.3	0.4	29.3	-7.67	-4.79	999.96	-8.3	-4.88	1004.66		-0.63	-0.09	4.7			
46	-0.3	0.5	29.3	-7.97	-4.66	999.96	-8.3	-4.88	1004.66		-0.33	-0.22	4.7			
47	-0.3	0.5	29.3	-7.96	-5.03	999.96	-14.4	-6.84	1005.15		-6.44	-1.81	5.19			
48	-0.3	0.5	29.3	-7.94	-5.07	999.96	-9.28	-6.84	998.55		-1.34	-1.77	-1.41			
49	-0.3	0.5	29.2	-8	-5.02	999.96	-9.28	-6.84	998.55		-1.28	-1.82	-1.41			
50	-0.3	0.5	29.2	-7.99	-4.94	999.96	-8.3	-7.57	1003.44		-0.31	-2.63	3.48			
51	-0.3	0.5	29.2	-7.88	-4.96	999.96	-8.3	-7.57	1003.44		-0.42	-2.61	3.48			
52	-0.3	0.5	29.2	-7.87	-5.03	999.96	-12.45	-4.88	1001.24		-4.58	0.15	1.28			
53	-0.3	0.5	29.2	-7.86	-5.15	999.96	-7.08	-6.35	999.78		0.78	-1.2	-0.18			
54	-0.3	0.5	29.2	-7.88	-5.2	999.96	-7.08	-6.35	999.78		0.8	-1.15	-0.18			
55	-0.3	0.5	29.2	-7.88	-5.2	999.96	-5.13	-4.15	1002.71		2.75	1.05	2.75			
56	-0.3	0.5	29.2	-7.98	-5.16	999.95	-11.72	-9.28	1001.97		-3.74	-4.12	2.02			
57	-0.3	0.5	29.2	-7.98	-5.16	999.95	-11.72	-9.28	1001.97		-3.74	-4.12	2.02			
58	-0.3	0.5	29.2	-7.98	-5.15	999.95	-6.84	-7.81	1003.93		1.14	-2.66	3.98			
59	-0.3	0.5	29.2	-7.98	-5.15	999.95	-6.84	-7.81	1003.93		1.14	-2.66	3.98			
60	-0.3	0.5	29.2	-8.06	-5.2	999.95	-3.66	-6.35	1004.17		4.4	-1.15	4.22			
61	-0.3	0.5	29.2	-8.1	-5.14	999.95	-7.32	-4.64	1003.68		0.78	0.5	3.73			
62	-0.3	0.5	29.2	-8.1	-5.14	999.95	-7.32	-4.64	1003.68		0.78	0.5	3.73			
63	-0.3	0.5	29.2	-8.1	-5.14	999.95	-4.15	0.49	1004.9		3.95	5.63	4.95			
64	-0.3	0.5	29.2	-8	-5.23	999.95	-9.28	-7.32	1003.19		-1.28	-2.09	3.24			
