Designator,Mid X,Mid Y,Layer,Rotation
C12,21.67,60.27,Top,270
C13,16.03,73,Top,90
C16,18.26,58.95,Top,180
C17,27.08,69.7,Top,180
C19,28.78,61.77,Top,270
C5,27.08,57.23,Top,270
C6,11.12,39.4,Top,270
C7,14.25,57.84,Top,90
C9,14,43.46,Top,0
Q10,3.72,44.49,Top,90
Q2,15.22,40.05,Top,270
Q3,21.61,64.8,Top,270
Q5,7.79,38.06,Top,180
Q6,3.74,40.89,Top,90
Q7,14.83,45.46,Top,270
Q8,11.07,48.36,Top,0
R11,17.35,66.12,Top,270
R12,13.03,67.06,Top,180
R15,26.64,64.08,Top,0
R16,7.79,39.82,Top,0
R17,9.44,37,Top,270
R18,13.4,40.07,Top,90
R19,17.11,39.49,Top,270
R2,3.78,46.37,Top,0
R20,13.02,45.48,Top,90
R21,17.85,44.98,Top,270
R22,11.07,46.35,Top,180
R23,10.48,50.44,Top,180
R24,39.32,20.8,Top,0
R27,3.68,64.95,Top,0
R29,5.66,44.52,Top,270
R3,41.88,24.05,Top,0
R4,5.53,40.89,Top,270
R5,3.55,38.9,Top,0
R6,19.53,73.28,Top,270
R7,16.89,69.65,Top,180
R8,23.64,56.32,Top,90
U$1,39.79,5.3,Top,270
U$10,7.11,68.3,Top,180
U$11,6.91,57.07,Top,0
U$2,36.27,63.09,Top,180
U$3,39.86,12.08,Top,90
U$4,32.82,61.16,Top,180
U$5,26.04,61.04,Top,90
U$6,21.64,69.47,Top,0
U$7,11.85,63.3,Top,270
U$8,33.83,70.36,Top,270
U$9,20.75,55.83,Top,180
U2,23.85,73.33,Top,90
U3,37.22,39.57,Top,0
C8,9.06,47.45,Top,90
