Comment,Designator,Footprint,JLCPCB Part #?optional?,,,,
KGM15AR71C104KT ,C10,603,581-KGM15AR71C104KT ,,Capacitors,,
KGM15AR71C104KT ,C14,603,581-KGM15AR71C104KT ,,3,GRT188C81C475KE13D ,https://www.mouser.com/ProductDetail/Murata-Electronics/GRT188C81C475KE13D?qs=drgMNd%252BkGPNPG1XkgGUSBQ%3D%3D
KGM15AR71C104KT ,C15,603,581-KGM15AR71C104KT ,,3,GRM188R61A106ME69D ,https://www.mouser.com/ProductDetail/Murata-Electronics/GRM188R61A106ME69D?qs=o98hbGm2QKGN31NsNZp5HQ%3D%3D
KGM15AR71C104KT ,C3,603,581-KGM15AR71C104KT ,,4,8.85E+11,https://www.mouser.com/ProductDetail/Wurth-Elektronik/885012106029?qs=amGC7iS6iy%252BgG3I4L92Nqg%3D%3D
KGM15AR71C104KT ,C7,603,581-KGM15AR71C104KT ,,7,KGM15AR71C104KT ,https://www.mouser.com/ProductDetail/KYOCERA-AVX/KGM15AR71C104KT?qs=Jm2GQyTW%2FbiNMH1Ynxi4nA%3D%3D
KGM15AR71C104KT ,C8,603,581-KGM15AR71C104KT ,,1,CGA3E1X7R1C105K080AC ,https://www.mouser.com/ProductDetail/TDK/CGA3E1X7R1C105K080AC?qs=XHchNesRtUbBVNsGg9%252BP9g%3D%3D
KGM15AR71C104KT ,C9,603,581-KGM15AR71C104KT ,,Resistors,,
CR0402-FX-5101GLF ,R12,402,652-CR0402FX-5101GLF ,,12,CR0402-JW-222GLF ,https://www.mouser.com/ProductDetail/Bourns/CR0402-JW-222GLF?qs=sGAEpiMZZMvdGkrng054t%252BRNGJdg958Rwm1dRjFTsA0%3D
CR0402-FX-5101GLF ,R27,402,652-CR0402FX-5101GLF ,,1,RCA04021K00JNED ,https://www.mouser.com/ProductDetail/Vishay-Draloric/RCA04021K00JNED?qs=sGAEpiMZZMvdGkrng054t3GzUHVMl1SeJp6LIOtwcTkC2QY2Br2rDA%3D%3D
CR0402-JW-222GLF ,R16,402,652-CR0402JW-222GLF ,,2,CR0402-FX-5101GLF ,https://www.mouser.com/ProductDetail/Bourns/CR0402-FX-5101GLF?qs=sGAEpiMZZMvdGkrng054t%252BRNGJdg958RacGJf%2FAwU50%3D
CR0402-JW-222GLF ,R17,402,652-CR0402JW-222GLF ,,2,CRCW040210K0FKEDC ,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW040210K0FKEDC?qs=sGAEpiMZZMvdGkrng054t8r8AhKhXLMmRzRvL6rLfpm%252B44%252BFlSmM9Q%3D%3D
CR0402-JW-222GLF ,R18,402,652-CR0402JW-222GLF ,,5,ERJ-3EKF1001V ,https://www.mouser.com/ProductDetail/Panasonic/ERJ-3EKF1001V?qs=sGAEpiMZZMvdGkrng054tw5%2FFYq5P%2FDo4GIJfi39yII%3D
CR0402-JW-222GLF ,R19,402,652-CR0402JW-222GLF ,,3,ERJ-3EKF1002V ,https://www.mouser.com/ProductDetail/Panasonic/ERJ-3EKF1002V?qs=sGAEpiMZZMvdGkrng054tw5%2FFYq5P%2FDoCx9UR%2FAPDkE%3D
CR0402-JW-222GLF ,R2,402,652-CR0402JW-222GLF ,,1,ERJ-3EKF2001V ,https://www.mouser.com/ProductDetail/Panasonic/ERJ-3EKF2001V?qs=sGAEpiMZZMvdGkrng054tw5%2FFYq5P%2FDoeRUYQWbbpVM%3D
CR0402-JW-222GLF ,R20,402,652-CR0402JW-222GLF ,,1,SFR03EZPJ472 ,https://www.mouser.com/ProductDetail/ROHM-Semiconductor/SFR03EZPJ472?qs=sGAEpiMZZMvdGkrng054tz1y1XEHv7sN%252BmFGPoTiTktQ%2FXS%252BemD6aA%3D%3D
CR0402-JW-222GLF ,R21,402,652-CR0402JW-222GLF ,,,,
CR0402-JW-222GLF ,R22,402,652-CR0402JW-222GLF ,,Transistors,,
CR0402-JW-222GLF ,R23,402,652-CR0402JW-222GLF ,,2,MMS8050-H-TP ,https://www.mouser.com/ProductDetail/Micro-Commercial-Components-MCC/MMS8050-H-TP?qs=y6ZabgHbY%252Bwohxnqwm2Wtw%3D%3D
CR0402-JW-222GLF ,R29,402,652-CR0402JW-222GLF ,,6,RE1C002UNTCL ,https://www.mouser.com/ProductDetail/ROHM-Semiconductor/RE1C002UNTCL?qs=npTsUczJOtMVMYYXsT30%252BQ%3D%3D
CR0402-JW-222GLF ,R4,402,652-CR0402JW-222GLF ,,1,MCP73831T-2ATI/OT ,https://www.mouser.com/ProductDetail/Microchip-Technology/MCP73831T-2ATI-OT?qs=yUQqVecv4qsZbioEUu%252B83g%3D%3D
