Comment,Designator,Footprint,JLCPCB Part #?optional?
CC0603MRX5R7BB225,C1,603,C2169170
FCC0603F104Z500CT,C10,603,C5137469
CC0603MRX5R6BB106,C11,603,C109453
CC0603MRX5R7BB225,C12,603,C2169170
0603X475K160CT,C13,603,C296042
FCC0603F104Z500CT,C14,603,C5137469
FCC0603F104Z500CT,C15,603,C5137469
CC0603MRX5R7BB225,C16,603,C2169170
0603X475K160CT,C17,603,C296042
0603X475K160CT,C19,603,C296042
CC0603MRX5R6BB106,C2,603,C109453
FCC0603F104Z500CT,C3,603,C5137469
CC0603MRX5R6BB106,C4,603,C109453
CC0603MRX5R7BB225,C5,603,C2169170
EMK107BJ105KA-T,C6,603,C87149
FCC0603F104Z500CT,C7,603,C5137469
FCC0603F104Z500CT,C8,603,C5137469
FCC0603F104Z500CT,C9,603,C5137469
S8050,Q1,SOT-23,C111272
RE1C002UNTL,Q10,SOT-416FL,C509959
RE1C002UNTL,Q2,SOT-416FL,C509959
DMG2305UX-7,Q3,SOT-23,C150470
S8050,Q4,SOT-23,C111272
RE1C002UNTL,Q5,SOT-416FL,C509959
RE1C002UNTL,Q6,SOT-416FL,C509959
RE1C002UNTL,Q7,SOT-416FL,C509959
RE1C002UNTL,Q8,SOT-416FL,C509959
WR06X102JTL,R1,603,C384295
CRCW060310K0JNEAC,R10,603,C843910
PTFR0402D10K0P9,R11,402,C375970
FRC0402J512 TS,R12,402,C2906948
WR06X102JTL,R13,603,C384295
CRCW060310K0JNEAC,R14,603,C843910
PTFR0402D10K0P9,R15,402,C375970
SFR01MZPF2201,R16,402,C2085224
SFR01MZPF2201,R17,402,C2085224
SFR01MZPF2201,R18,402,C2085224
SFR01MZPF2201,R19,402,C2085224
SFR01MZPF2201,R2,402,C2085224
SFR01MZPF2201,R20,402,C2085224
SFR01MZPF2201,R21,402,C2085224
SFR01MZPF2201,R22,402,C2085224
SFR01MZPF2201,R23,402,C2085224
WR06X102JTL,R24,603,C384295
WR06X102JTL,R25,603,C384295
FRC0402J512 TS,R27,402,C2906948
SFR01MZPF2201,R29,402,C2085224
WR06X102JTL,R3,603,C384295
SFR01MZPF2201,R4,402,C2085224
SFR01MZPF2201,R5,402,C2085224
RTT03202JTP,R6,603,C103396
RS-03K472JT,R7,603,C88615
CR0402F1K00Q10Z,R8,402,C2835748
CRCW060310K0JNEAC,R9,603,C843910
K2-6639SP-C4SC-04,U$1,SMD,C83206
USB-TYPE-C-019,U$10,SMD,C2927039
CH340B,U$11,SOP-16,C81010
MLF2012-100K,U$2,805,C2941580
K2-6639SP-C4SC-04,U$3,SMD,C83206
TPS62202DBVR,U$4,    SOT-23-5,C9050
HE9008M6R,U$5,SOT-23-6,C5123432
19-217/GHC-YR1S2/3T,U$6,603,C72043
TPSMF05CT1G,U$7,SOT-323-6,C558443
SM02B-PASS-TB(LF)(SN),U$8,"SMD,P=2mm",C495198
19-217/GHC-YR1S2/3T,U$9,603,C72043
MCP73831T-2ATI/OT,U2,SOT-23-5,C14879
ESP32-WROOM-32D-N4,U3,"SMD,18x25.5mm",C473012
DWM3000TR13,U5,SMD-24,C5299931
BAT60AE6327HTSA1,D1,SOD-323-2,C513277
ICM-20948,U1,QFN-24(3x3),C726001
