Designator,Mid X,Mid Y,Layer,Rotation
C1,29.31,57.15,Top,270
C10,45.94,4.96,Top,90
C11,36.98,60.25,Top,0
C12,21.67,60.27,Top,270
C13,16.03,73,Top,90
C14,24.16,6.3,Top,270
C15,22,6.35,Top,270
C16,18.26,58.95,Top,180
C17,27.08,69.7,Top,180
C19,28.78,61.77,Top,270
C2,19.91,6.34,Top,270
C3,28.22,6.34,Top,270
C4,45.31,51.04,Top,0
C5,27.08,57.23,Top,270
C6,11.12,39.4,Top,270
C7,14.25,57.84,Top,90
C8,9.06,47.45,Top,90
C9,14,43.46,Top,0
Q1,41.24,17.26,Top,90
Q10,3.72,44.49,Top,0
Q2,15.22,40.05,Top,180
Q3,21.61,64.8,Top,180
Q4,46.62,16.85,Top,90
Q5,7.79,38.06,Top,90
Q6,3.74,40.89,Top,0
Q7,14.83,45.46,Top,180
Q8,11.07,48.36,Top,270
R1,12.12,2.57,Top,270
R10,33.87,4.28,Top,0
R11,17.35,66.12,Top,270
R12,13.03,67.06,Top,180
R13,16.69,4.88,Top,270
R14,13.92,27.74,Top,270
R15,26.64,64.08,Top,0
R16,7.79,39.82,Top,0
R17,9.44,37,Top,270
R18,13.4,40.07,Top,90
R19,17.11,39.49,Top,270
R2,3.78,46.37,Top,0
R20,13.02,45.48,Top,90
R21,17.85,44.98,Top,270
R22,11.07,46.35,Top,180
R23,10.48,50.44,Top,180
R24,39.32,20.8,Top,0
R25,14.43,3.76,Top,270
R27,3.68,64.95,Top,0
R29,5.66,44.52,Top,270
R3,41.88,24.05,Top,0
R4,5.53,40.89,Top,270
R5,3.55,38.9,Top,0
R6,19.53,73.28,Top,270
R7,16.89,69.65,Top,180
R8,23.64,56.32,Top,90
R9,34.89,15.94,Top,0
U$1,39.79,5.3,Top,0
U$10,7.11,70.59,Top,180
U$11,6.91,57.08,Top,180
U$2,36.27,63.09,Top,180
U$3,39.86,12.08,Top,0
U$4,32.82,61.16,Top,180
U$5,26.04,61.04,Top,90
U$6,21.52,69.66,Top,180
U$7,11.85,63.3,Top,270
U$8,33.83,70.36,Top,270
U$9,20.79,55.7,Top,0
U2,23.85,73.33,Top,0
U3,37.21,39.59,Top,180
U1,9.19,43.27,Top,90
U5,17.5,16.65,Top,90
D1,17.35,62.97,Top,90
