COMMENT,DESIGNATOR,FOOTPRINT,JLCPCB ID,,Qty Value                    Device                   Package             Parts                                                   Description                                                                                                                   DESCRIPTION                                                         HEIGHT LCSC_DATASHEET                                                                                  LCSC_PART LCSC_PRICE1_EUR LCSC_ROTATION_CCW LCSC_STOCK MANUFACTURER_NAME MANUFACTURER_PART_NUMBER MOUSER_PART_NUMBER   MOUSER_PRICE-STOCK                                                                                            PROD_ID     PROPERTIES                                                                 VALUE                  ,Qty Value                    Device                   Package             Parts                                                   Description                                                                                                                   DESCRIPTION                                                         HEIGHT LCSC_DATASHEET                                                                                  LCSC_PART LCSC_PRICE1_EUR LCSC_ROTATION_CCW LCSC_STOCK MANUFACTURER_NAME MANUFACTURER_PART_NUMBER MOUSER_PART_NUMBER   MOUSER_PRICE-STOCK                                                                                            PROD_ID     PROPERTIES                                                                 VALUE                  
 Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,J2,1X01_2MM,,,"8;"""";""CONN_01PTH_2MM"";""1X01_2MM"";""J2","8                            CONN_01PTH_2MM           1X01_2MM            J2, J3, J4, J5, J6, J7, J8, J9                          Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
 Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,J3,1X01_2MM,,,"2;""0.1uF"";""0.1UF-0603-25V-5%"";""0603"";""C8","2   0.1uF                    0.1UF-0603-25V-5%        0603                C8, C9                                                  0.1µF ceramic capacitors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      CAP-08604                                                                              0.1uF                  "
 Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,J4,1X01_2MM,,,"1;""1.0uF"";""1.0UF-0603-16V-10%-X7R"";""0603"";""C6"";""1ÂµF ceramic capacitors"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""CAP-13930"";"""";""1.0uF"";",1   1.0uF                    1.0UF-0603-16V-10%-X7R   0603                C6                                                      1µF ceramic capacitors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        CAP-13930                                                                              1.0uF                  
 Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,J5,1X01_2MM,,,"2;""19-217/GHC-YR1S2/3T"";""19-217/GHC-YR1S2/3T"";""19-217/GHC-YR1S2/3T"";""U$6","2   19-217/GHC-YR1S2/3T      19-217/GHC-YR1S2/3T      19-217/GHC-YR1S2/3T U$6, U$9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
 Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,J6,1X01_2MM,,,"6;""20V/0.2A/8MHz/1.2Î©/1Vth"";""MOSFET-NCH-RE1C002UN"";""SOT-416FL"";""Q2","6   20V/0.2A/8MHz/1.2?/1Vth  MOSFET-NCH-RE1C002UN     SOT-416FL           Q2, Q5, Q6, Q7, Q8, Q10                                 N-channel MOSFETs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             TRANS_14399                                                                            20V/0.2A/8MHz/1.2?/1Vth"
 Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,J7,1X01_2MM,,,"1;""20V/4.2A/52mÎ©/1.4W"";""MOSFET_PCH-DMG2305UX-7"";""SOT23-3@1"";""Q3"";""P-channel MOSFETs"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""TRANS-14388"";"""";""20V/4.2A/52mÎ©/1.4W"";",1   20V/4.2A/52m?/1.4W       MOSFET_PCH-DMG2305UX-7   SOT23-3@1           Q3                                                      P-channel MOSFETs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             TRANS-14388                                                                            20V/4.2A/52m?/1.4W     
 Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,J8,1X01_2MM,,,"1;""9DoF IMU"";""ICM-20948"";""QFN24-3X3"";""U1"";""ICM-20948 9 Degree of Freedom IMU"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""IC-14247"";"""";""9DoF IMU"";",1   9DoF IMU                 ICM-20948                QFN24-3X3           U1                                                      ICM-20948 9 Degree of Freedom IMU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             IC-14247                                                                               9DoF IMU               
 Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,J9,1X01_2MM,,,"1;""BAT60AE6327HTSA1"";""BAT60AE6327HTSA1"";""SOD2513X110N"";""D1"";""INFINEON - BAT60AE6327HTSA1 - RECTIFIER","1   BAT60AE6327HTSA1         BAT60AE6327HTSA1         SOD2513X110N        D1                                                      INFINEON - BAT60AE6327HTSA1 - RECTIFIER, SCHOTTKY, 3A, 10V, SOD-323                                                           INFINEON - BAT60AE6327HTSA1 - RECTIFIER, SCHOTTKY, 3A, 10V, SOD-323 1.1mm                                                                                                                                                         Infineon          BAT60AE6327HTSA1         726-BAT60AE6327HTSA1 https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/BAT60AE6327HTSA1?qs=OwbwYO03UsIW3Y2lCXbs8Q%3D%3D                                                                                                               "
19-217/GHC-YR1S2/3T,U$6,603,C72043,,"1;""CH340C"";""CH340C"";""SO016"";""U7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""IC-14038"";"""";"""";",1   CH340C                   CH340C                   SO016               U7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    IC-14038                                                                                                      
19-217/GHC-YR1S2/3T,U$9,603,C72043,,"5;""C_100NF/50V_0603"";""C_100NF/50V_0603"";""C0603"";""C3","5   C_100NF/50V_0603         C_100NF/50V_0603         C0603               C3, C7, C10, C14, C15                                   Capacitor General purpose SMD Capacitor                                                                                                                                                                  https://datasheet.lcsc.com/lcsc/1809301912_YAGEO-CC0603KRX7R9BB104_C14663.pdf                   C14663                    0                 7111530                                                                                                                                                                                              50V 100nF X7R ±10% 0603  ROHS                                                                     "
