"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"LCSC_DATASHEET";"LCSC_PART";"LCSC_PRICE1_EUR";"LCSC_ROTATION_CCW";"LCSC_STOCK";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"PROD_ID";"PROPERTIES";"VALUE";
"C1";"C_2.2UF/16V_0603";"C_2.2UF/16V_0603";"C0603";"Capacitor General purpose SMD Capacitor";"";"";"https://datasheet.lcsc.com/lcsc/1810271109_Samsung-Electro-Mechanics-CL10A225KO8NNNC_C23630.pdf";"C23630";"";"0";"1324345";"";"";"";"";"";"16V 2.2uF X5R ±10% 0603  ROHS";"";
"C2";"C_10UF/10V_0603";"C_10UF/10V_0603";"C0603";"Capacitor General purpose SMD Capacitor";"";"";"https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.pdf";"C19702";"";"0";"2089400";"";"";"";"";"";"10V 10uF X5R ±10% 0603  ROHS";"";
"C3";"C_100NF/50V_0603";"C_100NF/50V_0603";"C0603";"Capacitor General purpose SMD Capacitor";"";"";"https://datasheet.lcsc.com/lcsc/1809301912_YAGEO-CC0603KRX7R9BB104_C14663.pdf";"C14663";"";"0";"7111530";"";"";"";"";"";"50V 100nF X7R ±10% 0603  ROHS";"";
"C4";"C_10UF/10V_0603";"C_10UF/10V_0603";"C0603";"Capacitor General purpose SMD Capacitor";"";"";"https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.pdf";"C19702";"";"0";"2089400";"";"";"";"";"";"10V 10uF X5R ±10% 0603  ROHS";"";
"C5";"C_2.2UF/16V_0603";"C_2.2UF/16V_0603";"C0603";"Capacitor General purpose SMD Capacitor";"";"";"https://datasheet.lcsc.com/lcsc/1810271109_Samsung-Electro-Mechanics-CL10A225KO8NNNC_C23630.pdf";"C23630";"";"0";"1324345";"";"";"";"";"";"16V 2.2uF X5R ±10% 0603  ROHS";"";
"C6";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"CAP-13930";"";"1.0uF";
"C7";"C_100NF/50V_0603";"C_100NF/50V_0603";"C0603";"Capacitor General purpose SMD Capacitor";"";"";"https://datasheet.lcsc.com/lcsc/1809301912_YAGEO-CC0603KRX7R9BB104_C14663.pdf";"C14663";"";"0";"7111530";"";"";"";"";"";"50V 100nF X7R ±10% 0603  ROHS";"";
"C8";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"C9";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"C10";"C_100NF/50V_0603";"C_100NF/50V_0603";"C0603";"Capacitor General purpose SMD Capacitor";"";"";"https://datasheet.lcsc.com/lcsc/1809301912_YAGEO-CC0603KRX7R9BB104_C14663.pdf";"C14663";"";"0";"7111530";"";"";"";"";"";"50V 100nF X7R ±10% 0603  ROHS";"";
"C11";"C_10UF/10V_0603";"C_10UF/10V_0603";"C0603";"Capacitor General purpose SMD Capacitor";"";"";"https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.pdf";"C19702";"";"0";"2089400";"";"";"";"";"";"10V 10uF X5R ±10% 0603  ROHS";"";
"C12";"C_2.2UF/16V_0603";"C_2.2UF/16V_0603";"C0603";"Capacitor General purpose SMD Capacitor";"";"";"https://datasheet.lcsc.com/lcsc/1810271109_Samsung-Electro-Mechanics-CL10A225KO8NNNC_C23630.pdf";"C23630";"";"0";"1324345";"";"";"";"";"";"16V 2.2uF X5R ±10% 0603  ROHS";"";
