"Part";"Value";"Device";"Package";"Description";"IOUT";"PROD_ID";"SF_ID";"VALUE";"VOUT";
"C1";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";"";
"C2";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";"";
"C3";"0.1uF";"C-0603";"C0603";"Ceramic Capacitors";"";"";"";"";"";
"C4";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"CAP-13930";"";"1.0uF";"";
"C5";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"CAP-14848";"";"10uF";"";
"C6";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";
"C7";"1.0uF";"C-0603";"C0603";"Ceramic Capacitors";"";"";"";"";"";
"C8";"10uF";"C-0603";"C0603";"Ceramic Capacitors";"";"";"";"";"";
"C9";"0.1uF";"C-0603";"C0603";"Ceramic Capacitors";"";"";"";"";"";
"C10";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";"";
"C11";"0.1uF";"C-0603";"C0603";"Ceramic Capacitors";"";"";"";"";"";
"C12";"4.7uF";"4.7UF-0402_TIGHT-6.3V-20%-X5R";"0402-TIGHT";"4.7µF ceramic capacitors";"";"CAP-14240";"";"4.7uF";"";
"C13";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";"";
"C14";"0.1uF";"C-0603";"C0603";"Ceramic Capacitors";"";"";"";"";"";
"C15";"0.1uF";"C-0603";"C0603";"Ceramic Capacitors";"";"";"";"";"";
"C19";"4.7uF";"4.7UF-0603-35V-(20%)";"0603";"4.7µF ceramic capacitors";"";"CAP-14106";"";"4.7uF";"";
"D1";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"DIO-09003";"";"Yellow";"";
"D4";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"DIO-14072";"";"3A/10V/280mV";"";
"D12";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"RED";"";
"J1";"USB Type C";"USB_C_2-LAYER_PADS";"USB-C-16P-2LAYER-PADS";"USB Type C 16Pin Connector";"";"CONN-14122";"";"";"";
"J3";"Connector ";"CONN_10"";"1X10";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-11563";"";"";"";
"J4";"Battery Connector";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"CONN-11443";"PRT-08612";"";"";
"JP2";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"Q1";"S8050";"TRANSISTOR-NPN-SOT23";"SOT23";"NPN audion";"";"";"";"";"";
"Q3";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3@1";"P-channel MOSFETs";"";"TRANS-14388";"";"20V/4.2A/52mΩ/1.4W";"";
"Q4";"S8050";"TRANSISTOR-NPN-SOT23";"SOT23";"NPN audion";"";"";"";"";"";
"Q6";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C002UN";"SOT-416FL";"N-channel MOSFETs";"";"TRANS_14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";"";
"Q8";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C002UN";"SOT-416FL";"N-channel MOSFETs";"";"TRANS_14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";"";
"Q10";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C002UN";"SOT-416FL";"N-channel MOSFETs";"";"TRANS_14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";"";
"Q12";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C002UN";"SOT-416FL";"N-channel MOSFETs";"";"TRANS_14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";"";
"Q14";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C002UN";"SOT-416FL";"N-channel MOSFETs";"";"TRANS_14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";"";
"Q16";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C002UN";"SOT-416FL";"N-channel MOSFETs";"";"TRANS_14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";"";
"R1";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"R3";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"RES-14342";"";"1k";"";
"R4";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R5";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R6";"2.0k";"2.0KOHM-0603-1/10W-5%";"0603";"2kΩ resistor";"";"RES-08296";"";"2.0k";"";
"R7";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"RES-14241";"";"10k";"";
"R8";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"RES-14241";"";"10k";"";
"R9";"5.1k";"5.1KOHM-0402T-1/16W-1%";"0402-TIGHT";"";"";"RES-14340";"";"5.1k";"";
"R10";"5.1k";"5.1KOHM-0402T-1/16W-1%";"0402-TIGHT";"";"";"RES-14340";"";"5.1k";"";
"R11";"1K";"R-0603";"0603";"";"";"";"";"";"";
"R12";"1K";"R-0603";"0603";"";"";"";"";"";"";
"R13";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"R14";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"R15";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"R16";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R17";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R18";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R19";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R20";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R21";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R22";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R23";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R24";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R25";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R34";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"RES-14342";"";"1k";"";
"TP1";"1.8V";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";
"U1";"9DoF IMU";"ICM-20948";"QFN24-3X3";"ICM-20948 9 Degree of Freedom IMU";"";"IC-14247";"";"9DoF IMU";"";
"U2";"MCP73831";"MCP73831";"SOT23-5";"MCP73831T Li-Ion, Li-Pol Controller";"";"IC-09995";"";"";"";
"U3";"ESP-WROOM-32";"ESP-WROOM-32";"ESP-WROOM-32";"";"";"";"";"";"";
"U5";"DWM1000";"DWM1000";"DWM1000";"";"";"";"";"";"";
"U6";"1.8V/100mA";"V_REG_SP6214-1.8V";"SC70";"Voltage Regulator - SP6214";"";"VREG-08428";"";"1.8V/100mA";"";
"U7";"CH340C";"CH340C";"SO016";"";"";"IC-14038";"";"";"";
"U8";"XC6222B331MR-G";"XC6222B331MR-G";"SOT23-5";"";"700mA";"VREG-16775";"";"";"3.3V";
